date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-31 22:38:38,ReddealsOnline,,0,0,0,"Check out Nike Air Jordan 1 Retro Mid Men’s Size 10 Multicolor Swoosh Black 554724-065 #Jordan https://ebay.us/WPg1pM via @eBay",,@eBay,#Jordan,1156695695916765189,https://twitter.com/ReddealsOnline/status/1156695695916765189
2019-07-31 22:25:46,volume_tv,,0,0,0,"Check out what I just added to my closet on Poshmark: Nike Air Jordan 1 Mid - “Cement Gray”. https://poshmark.com/listing/5d24c7e57a8173874fe39403?utm_campaign=referral_code%3DVTVSN&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3D5a8c8a87d36231b0c3c05676%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1156692456613695490,https://twitter.com/volume_tv/status/1156692456613695490
2019-07-31 22:13:43,TheSoleCloset,,0,0,0,"Nike Air Jordan 1 Mid Yellow Toe!! #wdywt #todayskicks #kicksoftheday #todaysjs #nicekicks #kicksoncourt #kicks #fresh #swag #nike #yeezy #yeezy2 #jordans #jordan #sexy #amazing #complexkicks #forsale… https://www.instagram.com/p/B0mPT0FnL6U/?igshid=i7qxa25cdgqu",,,#wdywt #todayskicks #kicksoftheday #todaysjs #nicekicks #kicksoncourt #kicks #fresh #swag #nike #yeezy #yeezy2 #jordans #jordan #sexy #amazing #complexkicks #forsale,1156689424773713920,https://twitter.com/TheSoleCloset/status/1156689424773713920
2019-07-31 22:13:03,TheSoleCloset,,0,0,0,"Nike Air Jordan 1 Mid GS Black/White Glow In The Dark!!! #wdywt #todayskicks #kicksoftheday #todaysjs #nicekicks #kicksoncourt #kicks #fresh #swag #nike #yeezy #yeezy2 #jordans #jordan #sexy #amazing #complexkicks… https://www.instagram.com/p/B0mPO8sHRGx/?igshid=kh69i8l8qc7a",,,#wdywt #todayskicks #kicksoftheday #todaysjs #nicekicks #kicksoncourt #kicks #fresh #swag #nike #yeezy #yeezy2 #jordans #jordan #sexy #amazing #complexkicks,1156689254040428544,https://twitter.com/TheSoleCloset/status/1156689254040428544
2019-07-31 20:30:15,KicksDealsCA,,0,0,5,"Get your Jordan 1 fix for the low with these two clean new ""Obsidian"" and ""Gunsmoke"" colourways of the Air Jordan 1 Mid that can now be had from Nike CA for only $145 + free shipping! https://bit.ly/2yqnLsS",,,,1156663385238507522,https://twitter.com/KicksDealsCA/status/1156663385238507522
2019-07-31 12:13:15,nyamco23,,0,0,0,"NIKE原宿 8/1 LEBRON SOLDIER XIII SFG EP PG3 EP ZOOM FREAK 1 WMNS AIR JORDAN 1 RETRO HIGH PREMIUM WMNS AIR JORDAN 1 NOVA XX WMNS AIR JORDAN 1 MID WMNS AJ1 JESTER XX LOW LACED WMNS ZOOM X VISTA GRIND WMNS ZOOM FLY 3 RIZE ※先着順販売 (FCFS) http://nikeharajuku.jp/blog/2019/07/31/210700.php",,,,1156538311348850688,https://twitter.com/nyamco23/status/1156538311348850688
2019-07-31 09:39:44,Sneakerologue,,0,1,3,"RESTOCK! Air Jordan 1 Mid ""Obsidian"" GS sur Nike ! http://bit.ly/2ZplxWy",,,,1156499678122430464,https://twitter.com/Sneakerologue/status/1156499678122430464
2019-07-31 09:27:08,UnisexClothingK,,0,0,0,"(eBay Sponsored) Nike Air Jordan 1 Mid GS White Black Gym Red Chicago Kid Women AJ1 554725-116 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338544985&amp;item=362713656184&amp;vectorid=229466&amp;lgeo=1&amp;utm_source=dlvr.it&amp;utm_medium=twitter",,,,1156496506670551040,https://twitter.com/UnisexClothingK/status/1156496506670551040
2019-07-31 08:40:15,more_sneakers,,3,1,3,"EU ONLY : LIVE AGAIN Air Jordan 1 Mid GS 'White/Obsdian' via Nike EUROPE FR:http://tidd.ly/565d908f UK:http://tidd.ly/e490e0b6 DE:http://tidd.ly/afe3d3b2 NL:http://tidd.ly/71166bc9 ES:http://tidd.ly/dd031e2e IT:http://tidd.ly/83b0aa29",,,,1156484707888050176,https://twitter.com/more_sneakers/status/1156484707888050176
2019-07-31 08:39:31,more_sneakers,,0,0,0,"EU ONLY: Air Jordan 1 Mid GS 'Gunsmoke/Volt' finally live via Nike EUROPE FR:https://tinyurl.com/y3x45yqz UK:https://tinyurl.com/y5b2hpaj DE:https://tinyurl.com/y4e2u36u NL:https://tinyurl.com/y4z5a5uh ES:https://tinyurl.com/yy3xm5ce IT:https://tinyurl.com/y3oygsls",,,,1156484522168508419,https://twitter.com/more_sneakers/status/1156484522168508419
