date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-31 20:59:56,Nike,_SneakerMonster,0,0,1,"Of course we can! That style is the M2K Tekno. Peep the link below to see if your size is still available. http://gonike.me/6012ELbVe",,,,1156670855772086272,https://twitter.com/Nike/status/1156670855772086272
2019-07-31 16:53:57,juuba_stores,,1,0,0,"Good evening to you all Nike M2K Tekno “Desert Ore-Deep Royal Blue” Now Available in store Size 40-45 Contact 08143231069 or DM to place order. Our delivery covers both within and outside Nigeria. Pls help to retweet 🙏. God bless ",,,,1156608950785204224,https://twitter.com/juuba_stores/status/1156608950785204224
2019-07-31 14:12:44,submitleader,,0,0,0,"Looking for the best stylish mens winter boots to try? We rounded up our top picks based on skin type, coverage range, texture, and even price.. Top 10 Stylish Mens Winter Boots Review and Comparison The post Nike M2K Tekno Vintage Casual Old Shoes appe… ",,,,1156568378682859521,https://twitter.com/submitleader/status/1156568378682859521
2019-07-31 11:35:45,Jkicksforkids,,0,1,1,"“What The @Bucks” Nike M2K Tekno Customs Done By @Jkicksforkids. This Custom Represents all of the Bucks color ways since the 60s",,@Bucks @Jkicksforkids,,1156528872927780864,https://twitter.com/Jkicksforkids/status/1156528872927780864
2019-07-31 11:23:54,more_sneakers,,0,1,2,"AD: Women's Nike M2K Tekno 'Phantom' now on Stuart London =&gt; http://tidd.ly/63ae5ded",,,,1156525892102963200,https://twitter.com/more_sneakers/status/1156525892102963200
2019-07-31 10:21:38,AthleticShoesW,,0,0,0,"(eBay Advertisement) Nike Wmns M2K Tekno Platinum Teal Tint Black Women Shoes Sneakers AO3108-013 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338544985&amp;item=362713726945&amp;vectorid=229466&amp;lgeo=1&amp;utm_source=dlvr.it&amp;utm_medium=twitter",,,,1156510220228542466,https://twitter.com/AthleticShoesW/status/1156510220228542466
2019-07-31 09:22:44,JOLUSONLINE,,0,0,0,"NIKE M2K TEKNO ‘’DESERT ORE- ROYAL DEEP BLUE’🔥🔥 AVAILABLE IN SIZE 40-45. PRICE: 22K❗️❗️ ",,,,1156495400070721536,https://twitter.com/JOLUSONLINE/status/1156495400070721536
2019-07-31 07:26:43,more_sneakers,,0,1,2,"EU ONLY : Nike Wmns M2K Tekno 'Team Orange' now live at 50€ only on Courir Last sizes =&gt;http://tidd.ly/72290afe",,,,1156466203034030081,https://twitter.com/more_sneakers/status/1156466203034030081
2019-07-30 18:30:00,TheSneakersBox,,0,0,0,"The Nike M2K Tekno is available at @sneakers1976, check it out! ✨ http://www.thesneakersbox.com",,@sneakers1976,,1156270735230414848,https://twitter.com/TheSneakersBox/status/1156270735230414848
2019-07-30 17:51:40,sneakermyth,,0,0,0,"ad: Nike M2K Tekno 'Summit White' Now Just £45, Full Size Run! &gt;&gt; https://snkr.mx/2Msebhl (RRP £90)",,,,1156261090013175808,https://twitter.com/sneakermyth/status/1156261090013175808
2019-07-30 17:20:47,more_sneakers,,0,1,0,"AD : Nike M2K Tekno Men 'Team Orange' FULL RESTOCK live with 50% OFF on Footasylum =&gt;http://tidd.ly/6f74fa54",,,,1156253315933585410,https://twitter.com/more_sneakers/status/1156253315933585410
2019-07-30 16:57:45,more_sneakers,,0,0,1,"AD: Nike Wmns M2K Tekno 'Phantom' available in selected sizes on ASOS =&gt; http://tidd.ly/e9041113 No US Shipping Local shipping FR:http://tidd.ly/83037f20 DE:http://tidd.ly/55c2879f NL:http://tidd.ly/d1bd96f9 ES:http://tidd.ly/4bdd11db IT:http://tidd.ly/6deefa8b",,,,1156247521993342981,https://twitter.com/more_sneakers/status/1156247521993342981
2019-07-30 16:23:32,BallinSneaks,,1,0,0,"Asos UK Nike M2k Tekno Phantom few sizes back up http://bit.ly/2SPrmKn",,,,1156238910709796864,https://twitter.com/BallinSneaks/status/1156238910709796864
