date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-31 23:15:39,lesajones30,,0,0,0,"Check out what I just added to my closet on Poshmark: Womens All White Nike Tanjun Shoes. https://poshmark.com/listing/5d41f6a9bbf0765c914abf1e?utm_campaign=referral_code%3DSPARKLEANDGRACE&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3D55e31abab0c5fce91f00b852%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1156705010740109312,https://twitter.com/lesajones30/status/1156705010740109312
2019-07-31 22:00:58,Glitzland,,0,0,0,"Swarovski Nike Women Tanjun Customized with SWAROVSKI® Crystals- Many Colors Available! FREE Domestic Shipping! #WeddingShoes #BlingedWhiteNike ➤ https://tinyurl.com/yyy84fgc",,,#WeddingShoes #BlingedWhiteNike,1156686213446873089,https://twitter.com/Glitzland/status/1156686213446873089
2019-07-31 20:21:38,GirlsShoesKids,,0,0,0,"(eBay Sponsored) Nike Kid's Tanjun SE (GS) Running Shoes 859617-600 (GS) Size 4~7 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338544985&amp;item=323873248463&amp;vectorid=229466&amp;lgeo=1&amp;utm_source=dlvr.it&amp;utm_medium=twitter",,,,1156661217919811585,https://twitter.com/GirlsShoesKids/status/1156661217919811585
2019-07-31 20:17:34,lesajones30,,0,0,0,"Check out what I just added to my closet on Poshmark: Womens All White Nike Tanjun Shoes. https://poshmark.com/listing/5d41f6a9bbf0765c914abf1e?utm_campaign=referral_code%3DSPARKLEANDGRACE&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_cl_ios%26rfuid%3D55e31abab0c5fce91f00b852%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1156660192458620928,https://twitter.com/lesajones30/status/1156660192458620928
2019-07-31 19:42:53,LuarcaMartha,,0,0,0,"Check out what I just added to my closet on Poshmark: NIKE TANJUN SE WOMAN RUNNING SNEAKER. https://poshmark.com/listing/5d41edead1aa25a8a4ddabe3?utm_campaign=referral_code%3DPECOSA2&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_cl_ios%26rfuid%3D5c5d55d437003dc23ff913bb%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1156651464606924800,https://twitter.com/LuarcaMartha/status/1156651464606924800
2019-07-31 18:20:11,nievesjj,,0,0,0,"Check out Nike Tanjun Racer (GS) AH5247 001 Size 6Y Girls https://www.ebay.com/ulk/itm/183804121368 @eBay",,@eBay,,1156630652290314242,https://twitter.com/nievesjj/status/1156630652290314242
2019-07-31 18:00:47,NPDMattPowell,,4,17,47,"Top-selling footwear styles H1 2019 in $rank order: Nike AIR MAX 270, Nike TANJUN, JORDAN 6 RINGS, Nike AIR FORCE 1, JORDAN VI, JORDAN IV, Adidas NMD R1, Chuck Taylor OX LOW, Vans WARD, Nike REVOLUTION 4. (Note: eight of these shoes are sport lifestyle category; one is skate )",,,,1156625772054028288,https://twitter.com/NPDMattPowell/status/1156625772054028288
2019-07-31 17:53:26,stlmommy1,,0,0,0,"Nike Kids’ Tanjun Running Shoes $32.99 (Retail $50) ",,,,1156623922818887680,https://twitter.com/stlmommy1/status/1156623922818887680
2019-07-31 12:29:04,khevskhie,,0,0,0,"Available ☺️😘 Nike tanjun size 5/6/7 only original✅ not oem🔥🔥🔥",,,,1156542291353333765,https://twitter.com/khevskhie/status/1156542291353333765
2019-07-31 09:35:28,YaaaYuuun,,1,1,2,"Selling NIKE TANJUN SANDALS no issue Never been used 1900 ",,,,1156498602304258049,https://twitter.com/YaaaYuuun/status/1156498602304258049
2019-07-31 09:01:11,picallot,,0,0,0,"Getting your shoes Wet on a rainy day? Someone finally invented this little shoe covers that will keep your new sneakers out of the rain while you’re out and about. http://ow.ly/6C9n50v0gP4 #shoecover #snikers #niketanjun #jordanxi #allbirds #tretorn #shoes #shoesaddict",,,#shoecover #snikers #niketanjun #jordanxi #allbirds #tretorn #shoes #shoesaddict,1156489974998556672,https://twitter.com/picallot/status/1156489974998556672
2019-07-30 21:42:05,CmenOtw,,0,0,0,"#Salenike NIKE ORIGINAL 100% NIKE TANJUN RUN Blue Gold Available Size Eur 38 Eur 39 Eur 40 Eur 41 Eur 42 Eur 43 Eur 44 Retail Price.❌❌❌ Sale Price. 330.000📌 #InfoCmenotw BRAND NEW WITH… https://www.instagram.com/p/B0jm5T9htGlzaeSqSvbsnaZVw8ixGWC9jkA0xA0/?igshid=wcn93iy7lotq",,,#Salenike #InfoCmenotw,1156319075510996992,https://twitter.com/CmenOtw/status/1156319075510996992
2019-07-30 16:51:31,latestBFDeals,,0,0,0,"New Deal (Nike Tanjun Running Shoes $19.50. Lord &amp; Taylor.) -- https://latestblackfridaydeals.com/nike-tanjun-running-shoes-19-50-lord-taylor/ 0 Let's try this again. Lord &amp; Taylor shoes sale. Nike Tanjun (Black) $19.50 Penguin Shoes...",,,,1156245952786771969,https://twitter.com/latestBFDeals/status/1156245952786771969
2019-07-30 14:20:03,MushyLily,,0,0,0,"https://shoppyme.com/shoes/nike-boys-tanjun-print-ps-pre-school-shoe-black-white-space-purple-cabana-size-12-kids-us/ Product Description The Nike Tanjun Print is named after the Japanese word for simplicity. Soft, flexible cushioning is durable and lightweight for all-day comfo",,,,1156207833144336384,https://twitter.com/MushyLily/status/1156207833144336384
2019-07-30 08:48:05,MushyLily,,0,0,0,"https://shoppyme.com/shoes/nike-girls-tanjun-print-shoe-hyper-violet-pink-blast-deadly-pink-size-6-5-m-us/ Product Description The Nike Tanjun Print comes from the Japanese word for simplicity and is flexible and lightweight. Soft cushioning provides all-day comfort. Product Fea",,,,1156124292016484354,https://twitter.com/MushyLily/status/1156124292016484354
