date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-30 04:28:16,NurhakimRahman_,,0,0,0,"Nike Zoom Pegasus Turbo 2 Premium By You Custom Men's Running Shoe ",,,,1156058908001050624,https://twitter.com/NurhakimRahman_/status/1156058908001050624
2019-07-30 04:27:44,NurhakimRahman_,,0,0,0,"Nike Zoom Pegasus Turbo 2 Premium By You Custom Men's Running Shoe https://m.nike.com/my/en_gb/product/custom-nike-zoom-pegasus-turbo-2-by-you/?piid=10000597&amp;pbid=971607779&amp;mid=1066645498&amp;cp=euns_soc_101511_twitshare",,,,1156058770700525568,https://twitter.com/NurhakimRahman_/status/1156058770700525568
2019-07-29 22:34:49,NurhakimRahman_,,0,0,0,"Nike Zoom Pegasus Turbo 2 Premium By You Custom Men's Running Shoe https://m.nike.com/my/en_gb/product/custom-nike-zoom-pegasus-turbo-2-by-you/?piid=10000597&amp;pbid=971607779&amp;mid=1066623221&amp;cp=euns_soc_101511_twitshare",,,,1155969959714889735,https://twitter.com/NurhakimRahman_/status/1155969959714889735
2019-07-29 22:16:48,NurhakimRahman_,,0,0,0,"Nike Zoom Pegasus Turbo 2 Premium By You Custom Men's Running Shoe https://m.nike.com/my/en_gb/product/custom-nike-zoom-pegasus-turbo-2-by-you/?piid=10000597&amp;pbid=971607779&amp;mid=1066623794&amp;cp=euns_soc_101511_twitshare",,,,1155965425571598336,https://twitter.com/NurhakimRahman_/status/1155965425571598336
2019-07-29 20:30:23,KintecFootwear,,0,0,0,"The new Nike Zoom Pegasus Turbo 2 is our feature of the week! With an updated feather-light upper, and innovative foam that brings revolutionary responsiveness to your long-distance training. Shop now: https://kint.ec/2Ze2TRf",,,,1155938642268790785,https://twitter.com/KintecFootwear/status/1155938642268790785
2019-07-29 20:15:43,haszreenk,,0,1,1,"🐸Nike Zoom Pegasus Turbo 2 Premium By You Custom Men's Running Shoe https://m.nike.com/my/en_gb/product/custom-nike-zoom-pegasus-turbo-2-by-you/?piid=10000597&amp;pbid=846110883&amp;mid=1066615989&amp;cp=euns_soc_101511_twitshare",,,,1155934952543776768,https://twitter.com/haszreenk/status/1155934952543776768
2019-07-27 15:16:23,sagarkamat,,1,0,0,"As much as I love Nike as a brand, their running shoe naming is seriously a mouthful. Like 'Nike ZoomX Vaporfly Next%' or 'Nike Zoom Pegasus Turbo 2' or 'Nike Epic React Flyknit 2'.Each of those words mean specific things about the shoe,but damn if they make it easy to understand",,,,1155134848023109632,https://twitter.com/sagarkamat/status/1155134848023109632
2019-07-26 20:30:11,TomlinsonJim,,0,0,0,"Check out #Nike zoom pegasus turbo 2 New Black White https://www.ebay.com/ulk/itm/223593355819 ⁦@eBay⁩",,@eBay,#Nike,1154851429158445058,https://twitter.com/TomlinsonJim/status/1154851429158445058
2019-07-26 20:06:35,brianbabyak,,0,0,0,"I just listed an Ask for the Nike Zoom Pegasus Turbo 2 Black Gunsmoke on @StockX",,@stockx,,1154845490426580992,https://twitter.com/brianbabyak/status/1154845490426580992
2019-07-26 09:25:06,MarathonShopMv,,0,0,0,"The Nike Zoom Pegasus Turbo 2 is updated with a featherlight upper, while innovative foam brings revolutionary responsiveness to your long distance training. #maldives #visitmaldives #nikepegasusturbo2… https://www.instagram.com/p/B0X_XYIgBz8/?igshid=14ge7hz38l0ch",,,#maldives #visitmaldives #nikepegasusturbo2,1154684055180496896,https://twitter.com/MarathonShopMv/status/1154684055180496896
2019-07-26 08:50:06,LifeSpiceIndia,,0,2,42,"The Nike Zoom Pegasus Turbo 2 is now even lighter and sleeker than its predecessor thanks to a translucent material and lofted mesh. In its midsole is the responsive ZoomX foam, which delivers 85% energy return - more than any other Nike foam. Learn more: ",,,,1154675247288918016,https://twitter.com/LifeSpiceIndia/status/1154675247288918016
2019-07-25 21:35:33,TomlinsonJim,,0,0,0,"Check out #Nike #zoom #pegasus #turbo 2 New Black White https://www.ebay.com/ulk/itm/223593355819 ⁦@eBay⁩ #",,@eBay,#Nike #zoom #pegasus #turbo,1154505489750863872,https://twitter.com/TomlinsonJim/status/1154505489750863872
2019-07-24 14:32:06,LifeSpiceIndia,,0,2,32,"The Nike Zoom Pegasus Turbo 2 is the latest everyday training iteration of the Nike Zoom Vaporfly 4%, the legendary shoe proclaimed by many as the ‘fastest shoe on the planet’. Shop for Zoom Pegasus Turbo 2: https://tinyurl.com/yypzmqtw #Nike #Turbo2 #Fly #Sports #Run #Running #fast",,,#Nike #Turbo2 #Fly #Sports #Run #Running #fast,1154036538537209858,https://twitter.com/LifeSpiceIndia/status/1154036538537209858
2019-07-24 14:24:04,jackrabbit,,0,0,2,"The Nike Zoom Pegasus Turbo 2 has us feeling fast 💨 and helping us knock down our training miles. Grab yourself a pair and see what all the zoom is about. Link to shop👟👟🛍: http://bit.ly/32PjLjm",,,,1154034517318836225,https://twitter.com/jackrabbit/status/1154034517318836225
2019-07-24 05:00:00,IcySoleOnline,,0,1,3,"This ""LAVENDER GHOST"" Womens Nike Zoom Pegasus Turbo 2 is NOW available! GET YOUR PAIR HERE: http://bit.ly/32JXbbT",,,,1153892564287643648,https://twitter.com/IcySoleOnline/status/1153892564287643648
2019-07-23 16:06:41,Kickz2fire,,0,0,0,"#WearTesters Nike Zoom Pegasus Turbo 2 Performance Review http://bit.ly/2ygufKR",,,#WearTesters,1153697954219417606,https://twitter.com/Kickz2fire/status/1153697954219417606
2019-07-23 16:00:06,WearTesters,,0,0,5,"Nike Zoom Pegasus Turbo 2 Performance Review » https://weartesters.com/nike-zoom-pegasus-turbo-2-performance-review/",,,,1153696297121124355,https://twitter.com/WearTesters/status/1153696297121124355
2019-07-23 16:00:04,Nightwing2303,,0,1,2,"Nike Zoom Pegasus Turbo 2 Performance Review ",,,,1153696288564793345,https://twitter.com/Nightwing2303/status/1153696288564793345
2019-07-23 11:13:01,MK1Shopping,,0,0,0,"Get active this weekend with the @Nike Zoom Pegasus Turbo 2 trainers! Available at @JDSports 🏃‍♂️",,@Nike @JDSports,,1153624051413344256,https://twitter.com/MK1Shopping/status/1153624051413344256
2019-07-22 11:55:07,LifeSpiceIndia,,0,2,28,"The Nike Zoom Pegasus Turbo 2 is the everyday trainer version of Nike's fastest shoe ever. Try it on your next run: http://ow.ly/gnWr50v6x8H The Nike Zoom series is also available across stores in India #Nike #Sports #shoes #run #fastest #fly #turbo #running #marathon #runindia",,,#Nike #Sports #shoes #run #fastest #fly #turbo #running #marathon #runindia,1153272255738208257,https://twitter.com/LifeSpiceIndia/status/1153272255738208257
