date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-09 23:50:03,SneakerShouts,,0,11,44,"25% OFF + free shipping on the Nike Air Force 1 Low React ""Black White"" BUY HERE: https://bit.ly/39Qlo4t",,,,1292609116859510785,https://twitter.com/SneakerShouts/status/1292609116859510785
2020-08-09 23:40:51,pat940atwatsons,,0,0,0,"I just discovered this on Poshmark: Nike Air Force 1 Low 💜. https://posh.mk/CNsDw0p3O8 via @poshmarkapp",,@Poshmarkapp,,1292606802668838916,https://twitter.com/pat940atwatsons/status/1292606802668838916
2020-08-09 23:30:52,sneakersteal,,0,5,27,"Nike Air Force 1 Low Jewel “Chicago” $84.97 Free Shipping ",,,,1292604289605611526,https://twitter.com/sneakersteal/status/1292604289605611526
2020-08-09 23:18:08,BoBBEallcat,,0,0,0,"Nike Air Force 1 Low LV8 GS, 749144-103, Crocodile Print White, Size 7Y #shopping #ebay",,,#shopping #ebay,1292601082124869632,https://twitter.com/BoBBEallcat/status/1292601082124869632
2020-08-09 23:15:03,SneakerScouts,,0,2,7,"#ad The Nike Air Force 1 LV8 'Triple Red' is now available via @footlocker! |$110| #SneakerScouts @Nike https://www.footlocker.com/product/nike-air-force-1-lv8-mens/W6999600.html?irclickid=Up424LTvOxyOWkA0MdV3iVCmUkiWM81ZQxOkxU0&amp;sid=8259&amp;cm_mmc=Affiliate-_-SneakerScouts-_--_-Content-_--_--_-p-_--_--_--_--_--_-ONLINE_TRACKING_LINK-_--_-Online%20Tracking%20Link-_--_-&amp;irgwc=1",,@footlocker @Nike,#ad #SneakerScouts,1292600308284219393,https://twitter.com/SneakerScouts/status/1292600308284219393
2020-08-09 23:08:03,WiEbaySeller,,0,0,0,"Buy #Nike Air Force 1 Goretex Low Athletic Sneakers Men 10.5 Desert Orange CK2630-800 AUTHENTIC Brand New #NIB #BuyItNow for: $150 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Goretex+Air+Force+1+Low+Athletic+Sneakers+Men+10.5+Desert+Orange+Brand+New&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164312577237 only on #Ebay #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirForce1 #AF1 #AirForce1Goretex",,,#Nike #NIB #BuyItNow #Ebay #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirForce1 #AF1 #AirForce1Goretex,1292598547611881477,https://twitter.com/WiEbaySeller/status/1292598547611881477
2020-08-09 23:04:31,nishah821,,0,0,0,"Check out what I just added to my closet on Poshmark: Nike Air Force 1 Vintage Floral Sneakers 1.5Y. https://poshmark.com/listing/5f1268a2163df4c462d7b0a4?utm_campaign=referral_code%3DSHILOH_CHIC&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3A83708662-6cce-4321-aea6-89fa49fe13c3%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1292597657311969281,https://twitter.com/nishah821/status/1292597657311969281
2020-08-09 23:00:00,SneakerDropCo,,0,3,0,"Full size run available for the Women’s Nike Air Force 1 Low ‘Easter’ with FREE SHIPPING #promotion =&gt; http://bit.ly/2XfxaB2 =&gt; http://bit.ly/2XfxaB2",,,#promotion,1292596522002063365,https://twitter.com/SneakerDropCo/status/1292596522002063365
2020-08-09 22:53:25,VerboseVintage,,0,0,0,"Check out what I just added to my closet on Poshmark: Women's 7 1/2 Nike Air Force 1 ""87"". https://poshmark.com/listing/5f3060d0ff830471092dff41?utm_campaign=referral_code%3DPOSHYTOSH&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li__and%26rfuid%3Dext1%3Aa36e6fe1-382a-4449-9dfe-ca649c684a56%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset",,@Poshmarkapp,#shopmycloset,1292594864933101568,https://twitter.com/VerboseVintage/status/1292594864933101568
2020-08-09 22:52:51,MJDjari,,1,0,0,"@nikestore Can you tell me when the normal white Air Force 1 will be ''restocked''? No one is selling, Footlocker/JDSports/Nike/Athletes Foot/Intersport/Size/ASOS they all dry on AF1 white size 43 EU and alot of other sizes",,@nikestore,,1292594719625826310,https://twitter.com/MJDjari/status/1292594719625826310
