,text
0,"Pegasus. Turbocharged 🚀. The new Nike Zoom Pegasus Turbo, featuring the same Nike ZoomX foam as the Vaporfly 4%. Available in-store 8/2. Learn more: http://www.fleetfeetchicago.com/news/breaking-down-the-hyped-nike-zoom-pegasus-turbo"
1,"Nike WMNS Zoom Pegasus Turbo Barely Grey release on Aug 2, 2018 for $180 via @kicksonfire #KoFapp https://kickson.fr/zwtBr"
2,Designed to fly. The new Nike Zoom Pegasus Turbo. We’ll have these available in store 8/2! #fleetfeet #PegasusTurbo #WeFlyMenloPark #bayarearunning #nikerunning #fleetfeetmenlopark
3,"[発売情報] #releasedate Wmns Nike Zoom Pegasus Turbo Drop Korea 2 Aug. Retail Price is 219,000 won via Nike #nike #pegasusturbo #runner #running"
4,"[発売情報] #releasedate Nike Zoom Pegasus Turbo Drop Korea 2 Aug. Retail Price is 219,000 won via Nike #nike #pegasusturbo #runner #run #running"
5,@FFFoxValley Will you guys have the Nike Zoom Pegasus Turbo in store on 8/2?
6,Release Date: Nike Zoom Pegasus Turbo ” Black ” Debuts 8/2 http://bit.ly/2Kc0GNT
7,Release Date: Nike Zoom Pegasus Turbo ” Black ” Debuts 8/2 http://bit.ly/2Kc0GNT
8,Release Date: Nike Zoom Pegasus Turbo ” Black ” Debuts 8/2 http://bit.ly/2Kc0GNT
9,"The new Nike Zoom Pegasus Turbo, featuring the same Nike ZoomX foam as the Vaporfly 4%. Available in store on 8/2! #PegasusTurbo #fleetfeet"
10,Available in limited quantities at all Heartbreak locations on 8/2. The Nike Zoom Pegasus Turbo! Are you ready to fly? #heartbeakersrun #PegasusTurbo #nikerunning
11,The Zoom Pegasus Turbo released via the Nike App earlier last week. They'll be hitting our site again on 8.2. Keep an eye out here for updates: http://gonike.me/6014DsRj6
12,4 DAYS UNTIL- The NEW Nike Zoom Pegasus Turbo is in our stores 8/2! Designed to Fly! Featuring the same Nike ZoomX foam as the Vaporfly 4%. Limited Quantities Available - email kelly@fleetfeetrochester.com to guarantee your size #fleetfeet #PegasusTurbo #WeFlyBuffalo
13,4 DAYS UNTIL- The NEW Nike Zoom Pegasus Turbo is in our stores 8/2! Designed to Fly! Featuring the same Nike ZoomX foam as the Vaporfly 4%. Limited Quantities Available - email kelly@fleetfeetrochester.com to guarantee your size #fleetfeet #PegasusTurbo #WeFlyRochester
14,"Every day fast. The new Nike Zoom Pegasus Turbo, featuring the same Nike ZoomX foam as the Vaporfly 4%. Available in-store 8/2. #fleetfeet #PegasusTurbo"
15,FIVE DAYS until THIS!! The new Nike Zoom Pegasus Turbo! In stores 8/2 - pre-order and guarantee your size by emailing kelly@fleetfeetrochester.com. Everyday Fast! Designed to Fly! Featuring the same Nike ZoomX foam as the Vaporfly 4%. #fleetfeet #PegasusTurbo #WeFlyBuffalo
