,text
0,"NIKE TANJUN ALLWHITE Size : 37, 38, 39, 40, 43, 44, 45 (with half size) Price: IDR. 410.000,- 100% ORIGINAL Contact Admin: • WA : 085882430884 • BBM : 5BBA5D09 NO CALL, TEXT ONLY NO… https://www.instagram.com/p/Bl4TJGHHZuU/?utm_source=ig_twitter_share&amp;igshid=vyu6nh7in1ux"
1,I LOVE my new shoes from @ShoeCarnival !! Start the school year off right😎 #shoeshoppin #niketanjun 
2,Just saw this on Amazon: NIKE Kids Tanjun (GS) Black/White White Run... by NIKE for $63.13 https://amzn.to/2mSJWC4 via @amazon best deals on Nike back to school sale
3,. RESTOCK Type : Nike Tanjun Triple White Size : 36 37 38 39 40 41 42 43 44 IDR : 445.000 ---&gt;&gt;&gt; 385.000 Belum ongkir.....!!! Note : BNWB (Brand New With Box) Minat? 📲 Whatsapp :… https://www.instagram.com/p/Blj9-1pAF_z/?utm_source=ig_twitter_share&amp;igshid=1orel70l02jmb
4,. RESTOCK Type : Nike Tanjun Black White Size : 36 37 38 39 40 41 42 43 44 45 46 IDR : 445.000 ---&gt;&gt;&gt; 385.000 Belum ongkir.....!!! Note : BNWB (Brand New With Box) Minat? 📲 Whatsapp :… https://www.instagram.com/p/Blmk1BzgMR6/?utm_source=ig_twitter_share&amp;igshid=t30hnb644vci
5,"Raise your style with these glorious Nike Tanjun trainers, the all white design and impact swoosh is so beautiful! Get yours from Sports Direct ☺ "
6,"Nike Tanjun ""All Black"" • Premium Quality • Mesh Nylon Made in Indonesia New + Box Size 40-44 (Men) • Rp. 375.000,- • WA / 081221595602 LINE / @dhz5532o • EST.2016 JSPR/SNKR® IG:… https://www.instagram.com/p/Bl2JqLZnkRM/?utm_source=ig_twitter_share&amp;igshid=6wxx0y54nera"
7,"Nike Tanjun ""Black White"" • Premium Quality • Mesh Nylon Made in Indonesia New + Box Size 36-44 (Unisex) • Rp. 375.000,- • WA / 081221595602 LINE / @dhz5532o • EST.2016 JSPR/SNKR® IG:… https://www.instagram.com/p/Bl2JPYgnPzk/?utm_source=ig_twitter_share&amp;igshid=1rlb2nz9hy3uk"
8,"So my sister aka @dinojenosaur came back from her korea trip and here's what she got for me -Nike tanjun, my couple shoes with Jungwoo -Johnny cashbee card -Jaemin ballpen -NCT pvc pouches -NCT fan -NCT 127 bottle from SUM Cafe +++ NCT Albums and skincare stuff 💚💚💚💚💚 "
9,Check out what I just added to my closet on Poshmark: Nike Tanjun (GS). https://poshmark.com/listing/5b5e64e69519964462d898e3?utm_campaign=referral_code%3DKAYLA_B21&amp;utm_content=feature%3Dsh_l%26rfuid%3D55d2a23f3adb853b3901fbef%26ext_trk%3Dbranch&amp;utm_source=tw_sh_pub via @poshmarkapp #shopmycloset
