,text
0,Nike Air Max 97 Lucky🍀Green sz 11 Worn 1X Like New $130 Steall 🔥🔥🔥🔥🔥 Where Legends Shop @Legends Boutique https://www.instagram.com/p/CDr_wJbpgcn/?igshid=1a1u440ynqn8n
1,Nike Air Max 97 By You 
2,Nike Air Max 97 By You https://www.nike.com/u/custom-nike-air-max-97-by-you-10000772?mid=8377610774&amp;sitesrc=b16_tw
3,.@Nike Women's Air Max 97 SE 'White/Laser Crimson' is now available via @FinishLine for $155! (use code 15DRIP150 - retail $170) @Nike https://bit.ly/31uRSxi
4,#ad The Nike Air Max 97 'Chile Red/Magma Orange' is now available via @footlocker! |$170| #SneakerScouts @Nike https://www.footlocker.com/product/nike-air-max-97-mens/4525001.html?irclickid=Up424LTvOxyOWkA0MdV3iVCmUkiWvq31QxOkxU0&amp;sid=8259&amp;cm_mmc=Affiliate-_-SneakerScouts-_--_-Content-_--_--_-p-_--_--_--_--_--_-ONLINE_TRACKING_LINK-_--_-Online%20Tracking%20Link-_--_-&amp;irgwc=1
5,#ad The Nike Women's Air Max 97 SE 'White/Laser Crimson' is now available via @FinishLine for $155! (use code 15DRIP150 - retail $170) #SneakerScouts @Nike https://www.finishline.com/store/product/womens-nike-air-max-97-se-casual-shoes/prod2777485?styleId=CZ6087&amp;colorId=101&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-61sBXD5yMbz3QCiseMkSkw&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-61sBXD5yMbz3QCiseMkSkw
6,Nike Air Max 97 GS Size 6 #shopping #ebay
7,#ad Sale $112.97 Women's Nike Air Max 2090 via Nike US. Retail $150 https://bit.ly/2DAXC0y
8,Nike Air Max 97 ‘Glaze Pink’ $97.49 Free Shipping 
9,"Retail $160, the ""Game Royal/Pink Glaze"" Nike Air Max 97 is on sale 40% off Use code SUN25 to order for $97.49 -&gt; https://bit.ly/2PFY28l ad"
10,"Hey Jessica! 👋 Those are both pairs of our Air Max 97 models. You have good taste. 😏 Let us know where you're located, and we'll try to track down some options for you. "
11,#ad The Nike Women's Air Max 97 'Black/White' is now available via @FinishLine! |$170| #SneakerScouts @Nike https://www.finishline.com/store/product/women's+nike+air+max+97+casual+shoes/prod2771647?styleId=921733&amp;colorId=006&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-Q9BgbYY2GbYWuo5pWwaTYA&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-Q9BgbYY2GbYWuo5pWwaTYA
