,text
0,"25% OFF + free shipping on the Nike Air Force 1 Low React ""Black White"" BUY HERE: https://bit.ly/39Qlo4t"
1,I just discovered this on Poshmark: Nike Air Force 1 Low 💜. https://posh.mk/CNsDw0p3O8 via @poshmarkapp
2,Nike Air Force 1 Low Jewel “Chicago” $84.97 Free Shipping 
3,"Nike Air Force 1 Low LV8 GS, 749144-103, Crocodile Print White, Size 7Y #shopping #ebay"
4,#ad The Nike Air Force 1 LV8 'Triple Red' is now available via @footlocker! |$110| #SneakerScouts @Nike https://www.footlocker.com/product/nike-air-force-1-lv8-mens/W6999600.html?irclickid=Up424LTvOxyOWkA0MdV3iVCmUkiWM81ZQxOkxU0&amp;sid=8259&amp;cm_mmc=Affiliate-_-SneakerScouts-_--_-Content-_--_--_-p-_--_--_--_--_--_-ONLINE_TRACKING_LINK-_--_-Online%20Tracking%20Link-_--_-&amp;irgwc=1
5,Buy #Nike Air Force 1 Goretex Low Athletic Sneakers Men 10.5 Desert Orange CK2630-800 AUTHENTIC Brand New #NIB #BuyItNow for: $150 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Goretex+Air+Force+1+Low+Athletic+Sneakers+Men+10.5+Desert+Orange+Brand+New&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164312577237 only on #Ebay #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirForce1 #AF1 #AirForce1Goretex
6,Check out what I just added to my closet on Poshmark: Nike Air Force 1 Vintage Floral Sneakers 1.5Y. https://poshmark.com/listing/5f1268a2163df4c462d7b0a4?utm_campaign=referral_code%3DSHILOH_CHIC&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3A83708662-6cce-4321-aea6-89fa49fe13c3%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
7,Full size run available for the Women’s Nike Air Force 1 Low ‘Easter’ with FREE SHIPPING #promotion =&gt; http://bit.ly/2XfxaB2 =&gt; http://bit.ly/2XfxaB2
8,"Check out what I just added to my closet on Poshmark: Women's 7 1/2 Nike Air Force 1 ""87"". https://poshmark.com/listing/5f3060d0ff830471092dff41?utm_campaign=referral_code%3DPOSHYTOSH&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li__and%26rfuid%3Dext1%3Aa36e6fe1-382a-4449-9dfe-ca649c684a56%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset"
9,"@nikestore Can you tell me when the normal white Air Force 1 will be ''restocked''? No one is selling, Footlocker/JDSports/Nike/Athletes Foot/Intersport/Size/ASOS they all dry on AF1 white size 43 EU and alot of other sizes"
10,#ad The Nike Air Force 1 Flyknit 2.0 'Black/Anthracite' is now available via @FinishLine for $100! (use code 10HEAT100 - retail $110) #SneakerScouts @Nike https://www.finishline.com/store/product/men's+nike+air+force+1+flyknit+2.0+casual+shoes/prod2786909?styleId=CI0051&amp;colorId=001&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-hS1oM9HdFc7NwqwDqhXujA&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-hS1oM9HdFc7NwqwDqhXujA
11,"Nike Air Force 1 Shadow ▪N29,000 ^ Size 38-40 ▪Shop Via DM or Link in Bio ^ Nationwide Delivery https://www.instagram.com/p/CDr0omKD7KT/?igshid=e1z4qj9ki0tz"
12,"Nike Air Force 1 Shadow 'Pink Quartz' ▪N29,000 ^ Size 38-40 ▪Shop Via DM or Link in Bio ^ Nationwide Delivery https://www.instagram.com/p/CDr0fiojdfV/?igshid=wsg7jnd5vo8y"
13,"last sizes ⚪️ Nike Air Force 1 ""Pink Rise"" ➡️ https://bit.ly/3gs5AHt #titoloWOMAN #titolo #nike #airforce1 #af1"
14,#ad Nike Air Force 1 React 'Black/White/Gym Red-Gym Blue' is now available via @footlocker for $102 *Use code PARAUG15 https://bit.ly/2DEzlqe
15,#ad The Nike Air Force 1 Low 'Worldwide' is now available via @footlocker for $119! (use code PARAUG15 - retail $140) #SneakerScouts @Nike https://www.footlocker.com/product/nike-air-force-1-low-mens/K7213100.html?irclickid=Up424LTvOxyOWkA0MdV3iVCmUkiWvoWlQxOkxU0&amp;sid=8259&amp;cm_mmc=Affiliate-_-SneakerScouts-_--_-Content-_--_--_-p-_--_--_--_--_--_-ONLINE_TRACKING_LINK-_--_-Online%20Tracking%20Link-_--_-&amp;irgwc=1
16,#ad Nike Air Force 1 'Gold Pack' is now available via @FinishLine https://bit.ly/3iBy6Y3
17,Buy #Nike Air Force 1 Low Sneakers Shoes White/Voltage Purple Sz 11 Mens CJ1380-100 Brand New AUTHENTIC 🏀👟 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Air+Force+1+Low+Sneakers+Shoes+White+%2F+Voltage+Purple+Sz+11+Mens+CJ1380-100&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164321815311 only on #Ebay #BuyItNow for: $130 #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirForce1 #AF1 #NikeAir #NikeAirForce1
18,#ad The Nike Air Force 1 'Gold Pack' is now available via @FinishLine! |$90| #SneakerScouts @Nike https://www.finishline.com/store/product/mens-nike-air-force-1-07-casual-shoes/prod2767626?styleId=CZ9189&amp;colorId=001&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-O4Mp_Z2pQ1jpp46mY4RH3w&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-O4Mp_Z2pQ1jpp46mY4RH3w
19,Buy these #NIKE AIR FORCE 1 '07 LV8 CUT OUT Sz 10.5 UNIVERSITY RED/WHITE NEW CZ7377-600 BRAND NEW AUTHENTIC #NIB http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=NIKE+AIR+FORCE+1+%2707+LV8+CUT+OUT+Sz+10.5+UNIVERSITY+RED+-+WHITE+NEW+CZ7377-600&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F154013147151 only on #Ebay! Buy It Now for: $168 #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #BuyItNow #ebayfinds #AirForce1 #AF1 #NikeAirForce1
