date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-07-31 17:30:52,securedtheitem,,0,0,0,"NIKE M2K TEKNO AO3108 600 - Sneakers76 2018-07-31 17:30:52 https://www.sneakers76.com/en/nike/3233-nike-m2k-tekno-ao3108-600.html?_=1533043716",,,,1024346673131094016,https://twitter.com/securedtheitem/status/1024346673131094016
2018-07-31 13:23:46,vietmarklee,,0,0,1,"perhaps i spontaneously bought the nike m2k tekno in black just now",,,,1024284486236823552,https://twitter.com/vietmarklee/status/1024284486236823552
2018-07-31 10:46:56,more_sneakers,,0,0,1,"You can still grab the Nike Wmns M2K Tekno online JD:http://tidd.ly/c45edebe Size:http://tidd.ly/11bde81a Overkill:http://tinyurl.com/y8s2sl3p Footasylum:http://tidd.ly/cedb783b 43einhalb:http://tinyurl.com/yb2suar7 asphaltgold:http://tinyurl.com/ycnptqq6 Offspring:http://tidd.ly/d5bb9ddd",,,,1024245019740450816,https://twitter.com/more_sneakers/status/1024245019740450816
2018-07-30 18:00:41,TheSoleWomens,,0,0,2,"The Nike M2K Tekno is back in stock ✨ Shop: http://bit.ly/2OuRPtZ 📷courirstyle",,,,1023991787201933312,https://twitter.com/TheSoleWomens/status/1023991787201933312
2018-07-30 15:41:18,more_sneakers,,0,0,1,"Nike Wmns M2K Tekno on SJS 40 EU only Pink Foam:http://tinyurl.com/y9wtzn8c Black/Volt:http://tinyurl.com/y9cegpvo",,,,1023956707863609350,https://twitter.com/more_sneakers/status/1023956707863609350
2018-07-30 15:36:11,solelinksWW,,0,1,1,"Nike WMNS M2K Tekno 'Pink Foam' via Footdistrict =&gt; http://tinyurl.com/yc47t6sd",,,,1023955423961870336,https://twitter.com/solelinksWW/status/1023955423961870336
2018-07-30 15:34:52,securedtheitem,,0,0,0,"Nike Special Project WMNS M2K Tekno Sneakers - Sla 2018-07-30 15:34:52 https://www.slamjamsocialism.com/low-top/49649-wmns-m2k-tekno-sneakers.html",,,,1023955092720873473,https://twitter.com/securedtheitem/status/1023955092720873473
2018-07-30 15:34:41,securedtheitem,,0,0,0,"Nike Special Project WMNS M2K Tekno Sneakers - Sla 2018-07-30 15:34:40 https://www.slamjamsocialism.com/low-top/49650-wmns-m2k-tekno-sneakers.html",,,,1023955045753081856,https://twitter.com/securedtheitem/status/1023955045753081856
2018-07-30 15:30:45,securedtheitem,,0,0,0,"Nike WMNS M2K Tekno Pink | AO3108-600 | Foot Distr 2018-07-30 15:30:44 ",,,,1023954054223806465,https://twitter.com/securedtheitem/status/1023954054223806465
2018-07-30 05:27:18,solelinksWW,,0,2,3,"Women's Nike M2K Tekno 'White' dropped via NAP =&gt; http://bit.ly/2K7M0zk",,,,1023802193302831105,https://twitter.com/solelinksWW/status/1023802193302831105
2018-07-29 21:56:54,TheUNShop,,0,0,0,"Nike M2K Tekno Pink Foam Deadstock Sizes 6.5/7 In store or online. #theUN @Fashion Show https://www.instagram.com/p/Bl1NpPEjU6n/?utm_source=ig_twitter_share&amp;igshid=bjgaysmh1zer",,,#theUN,1023688842921033728,https://twitter.com/TheUNShop/status/1023688842921033728
2018-07-29 05:37:08,DeePhunk,sneakersteal,0,0,1,"Just a reminder that Nike tried to G y’all folks who are in love w/ the dad shoe wave earlier this year w/ the M2K Tekno for $100. ",,,,1023442279594225664,https://twitter.com/DeePhunk/status/1023442279594225664
2018-07-29 02:07:58,deadlysin23,,0,0,1,"Nike M2K Tekno (Premium GO Mirror 1:1 BNIB) Only IDR. 750K #sneakers #sneakerspremium #sneakersaddict #sneakerholics #coolsneakers #style #stylish #nikeworld #sportylook #sportshoes #gym… https://www.instagram.com/p/BlzFlRuHl6Y/?utm_source=ig_twitter_share&amp;igshid=ypx13auix6o6",,,#sneakers #sneakerspremium #sneakersaddict #sneakerholics #coolsneakers #style #stylish #nikeworld #sportylook #sportshoes #gym,1023389640865341440,https://twitter.com/deadlysin23/status/1023389640865341440
2018-07-28 16:33:37,SwankSpot,,0,0,0,"Check out Nike WMNS M2K Tekno ""Pink Foam"" AO3108-600 White Phantom Women's Brand New #Nike https://www.ebay.com/itm/Nike-WMNS-M2K-Tekno-Pink-Foam-AO3108-600-White-Phantom-Womens-Brand-New-/153104940393?roken=cUgayN&amp;soutkn=DJ1pfW",,,#Nike,1023245100950978561,https://twitter.com/SwankSpot/status/1023245100950978561
2018-07-28 06:19:09,NewxlyOfficial,,0,0,0,"OFF-WHITE x Nike Air Monarch the M2K Tekno #newxlydotcom #Newxly #buynow 🏪💬✈📦🎁😍🎉 #buywithbitcoin #offwhiteshoes #nikesshoes #nikeairmonarch #nikes #virgin #onlineshopping #onlinestore… https://www.instagram.com/p/Blw9h4zAQaQ/?utm_source=ig_twitter_share&amp;igshid=1kz04vuhdy1gu",,,#newxlydotcom #Newxly #buynow #buywithbitcoin #offwhiteshoes #nikesshoes #nikeairmonarch #nikes #virgin #onlineshopping #onlinestore,1023090462804983809,https://twitter.com/NewxlyOfficial/status/1023090462804983809
2018-07-27 19:36:24,Burrgundy,,0,0,0,"Chill RT @SneakerShouts: LIVE via YCMC Women's Nike M2K Tekno ""Team Orange"" with FREE shipping -&gt; http://bit.ly/2Nkl5Dl SOLD OUT on Nike US ",,@SneakerShouts,,1022928712285728769,https://twitter.com/Burrgundy/status/1022928712285728769
2018-07-27 19:17:34,SneakerShouts,,0,5,30,"LIVE via YCMC Women's Nike M2K Tekno ""Team Orange"" with FREE shipping -&gt; http://bit.ly/2Nkl5Dl SOLD OUT on Nike US ",,,,1022923972550295553,https://twitter.com/SneakerShouts/status/1022923972550295553
2018-07-27 19:17:32,SneakerDropCo,,0,0,0,"LIVE via YCMC Women's Nike M2K Tekno 'Team Orange' with FREE Shipping BUY HERE: https://bit.ly/2KIiWQ3",,,,1022923963440263169,https://twitter.com/SneakerDropCo/status/1022923963440263169
2018-07-27 19:16:51,iamYCMC,,0,0,2,"The women's Nike M2k Tekno just landed on YCMC. Shop it here: http://bit.ly/2uVXrp4",,,,1022923790970482691,https://twitter.com/iamYCMC/status/1022923790970482691
2018-07-27 19:15:38,SOLELINKS,,4,6,17,"LIVE via YCMC WMNS Nike M2K Tekno =&gt; http://bit.ly/2LIG6JL =&gt; http://bit.ly/2LIG6JL sold out everywhere",,,,1022923484555489280,https://twitter.com/SOLELINKS/status/1022923484555489280
2018-07-27 14:27:54,BallinSneaks,,1,0,1,"Womens Nike M2K Tekno Pink now on LVR http://bit.ly/2LriXfv",,,,1022851074540150784,https://twitter.com/BallinSneaks/status/1022851074540150784
2018-07-27 08:43:23,securedtheitem,,0,0,0,"Nike W M2K Tekno Black / Black-Off-White-Obsidian 2018-07-27 08:43:21 https://ist.290sqm.com/Just-Arrived?product_id=12394",,,,1022764373931057153,https://twitter.com/securedtheitem/status/1022764373931057153
