Star rating,Texual reviews,Date
5,"Classic shoe, nice colours, comfortable and stylish.
Would recommend",6-Aug-20
3,"C'est une belle chaussure, et on a envie de la porter tous les jours. Mais taille très large ce qui lui donne rapidement un look froissé. J'ai toujours porté des Jordan, et elles étaient toujours taillées pour mon pied, mais depuis quelques temps la qualité est en dessous, et les tailles diffèrent trop selon les modèles. Aussi, la durabilité est en régression constante. Le prix lui reste tours le même ...

Pour ceux qui hésite à prendre les toutes blanches : l'entretien est assez facile, mais il faut le faire chaque jour pour les garder comme neuve.",5-Aug-20
5,"
Really wanted these so i happy to be able to puchase these, great sneakers and speedy delivery",30-Jul-20
5,Love this show and it hulk like colors.,28-Jul-20
5,"Can’t go wrong with the Mids!! Stylish affordable, and very comfortable, colorways are also very unique. No complaints",22-Jul-20
5,These shoes are amazing I love how they feel they’re stylish. And highly comfortable rather tighten up or loosened. I’d suggest anyone to get these they look even more beautiful n hand and in person. Ik people love the highs but these mids are sum serious,21-Jul-20
5,"
Shoes are perfect",21-Jul-20
5,These fit perfectly. You can wear them loose or lace them up and they look great either way.,21-Jul-20
5,"Air Jordan 1's are always some of my favorite. And these are no disappointment. The colorway is very cool. Reminds me of the Joker, and it goes well with all jeans. Great buy!",13-Jul-20
5,A very comfortable shoe that will go perfect with the sweats I got. Styling,6-Jul-20
5,"I purchased this shoe for my 13 year old son, who has turned his 44 year old mom into a sneaker enthusiast! I never use to wear sneakers, I am a girly girl, so heels were always on my feet. But lately we have been purchasing a lot of sneakers and Jordan's are our go-to's! The colors on this one is great for spring/summer causal wear!",28-Jun-20
5,My son is enjoying his new sneakers.,24-Jun-20
5,Always able to order w such ease. Delivered very quickly. Love the product. My first pair of Mids. Materials are nice. Comes close to the o.g.! ????,18-Jun-20
5,The online ordering process was very easy and order arrived sooner than I expected with all of the delays taking place nowadays. My husband is very pleased with his shoes.,17-Jun-20
5,Love the look with the mids,17-Jun-20
4,I like the style and colorway of this sneakers for daily casual wear. The fir is just right and is very comfortable but it is not my most comfortable Nike sneaker pairs which I use for running/jogging or brisk walking . Since I just got this pair very recently I won't make any comment regarding its durability. if I don't make any update to this review then it means the pair I got is very durable.,14-Jun-20
5,Shoe fits true to size and feels very comfortable.,10-Jun-20
5,"To me they're comfy, and the colorway is versatile. They are true to size. I'm a 10.5 in everything, and these 10.5 are perfect.",5-Jun-20
4,Since I can't get the Chicago Highs on my feet these Mids are a very close 2nd. Beautiful color and style. Nike always…,2-Jun-20
5,"
Love the classic design. Old School for LIFE.",29-May-20
5,Have received a lot of comments about the shoe,28-May-20
4,I haven’t put a foot inside the shoe...... just added to the collection.......,27-May-20
5,"
tennis are nice fit comfortable",26-May-20
5,Great product. Good customer service!,26-May-20
4,I bought this shoe just for the colorway. Fits true to size. I'm definitely waiting to snatch a pair of the highs before resellers if they return. But until then I'll settle for the mids. Make me proud Nike.,21-May-20
5,"These are honestly one of the best sneakers i have bought for a long time, i rate them.",20-May-20
5,"I ordered the black and green J's. Obviously there's only good things to say about the Jordan 1. They're before the time of air, so if you're expecting the most comfortable shoe, you're crazy. Ordered these from Nike on a Monday, they arrived by Thursday, standard shipping. Crazy fast given the fact the entire country is pretty much shut down. Great work Nike!",18-May-20
5,Sticking with OG colors - this is one of the best AJ1 mids to release in years. Very clean look. Fits TTS.,16-May-20
5,Bought as a gift for a 12 year old who was over the moon with these shoes! Fit well too!,12-May-20
4,Nice 1's- I enjoyed the color combo,12-May-20
