,Reviews
0,97s and air maxs plus might be the hardest Nikes ... 
1,Those Nike Air Max 270 Reacts are fire and Im in love 
2,Nike Air Max 270 The comfort of that shoe Oh My God 
3,Nike air max 720 honesty the most comfortable shoes Ive worn in years  
4,Nike X OBJ Slip Air Max 720 is a thing of beauty  
5,"Nike Vapormax,Air Max 720/270, Air Max 97s are cute too..."
6,Nike m2k tekno seems pretty cool
7,Nike really did kill with the tanjun 
8,the nike air vapormax flyknit 3 is such a beauty 
9,I cant find the @Nike Air VaporMax Flyknit 3 in all black in my size 5.5 UK 
10,Really disappointed I had my shoes for a month and the air went out on one of them for the price we should definitely not have that problem 
11,One of my favorites. Lebrons and Jordans compete for my sneaker  
